path,size_mb,head_hex,ext,loaded,lib,kind,n_features,error
SUIUSD_H1_binary_lgb.pkl,0.01,80 04 95 DC 39 00 00 00,.pkl,True,joblib,LGBMClassifier,91,
SUIUSD_H4_binary_lgb.pkl,0.07,80 04 95 E2 01 00 00 00,.pkl,True,joblib,LGBMClassifier,90,
xgboost_model.json,0.94,7B 22 6C 65 61 72 6E 65,.json,True,xgb,Booster,45,
xgboost_model.onnx,0.3,08 08 12 0B 4F 6E 6E 78,.onnx,True,onnx,Session,45,
XRPUSD_D1_binary_lgb (2).pkl,0.01,80 04 95 CB 2F 00 00 00,.pkl,True,joblib,LGBMClassifier,91,
XRPUSD_D1_binary_lgb.pkl,0.02,80 04 95 E7 48 00 00 00,.pkl,True,joblib,LGBMClassifier,28,
XRPUSD_H1_binary_lgb.pkl,0.19,80 04 95 E2 01 00 00 00,.pkl,True,joblib,LGBMClassifier,90,
XRPUSD_H4_binary_lgb.pkl,0.03,80 04 95 3C 73 00 00 00,.pkl,True,joblib,LGBMClassifier,90,
models\11_feature_rf.pkl,1.0,80 04 95 00 07 00 00 00,.pkl,True,joblib,VotingClassifier,9,
models\11_feature_rf_XRP_2025_FINAL.pkl,1.33,80 04 95 98 03 00 00 00,.pkl,True,joblib,RandomForestClassifier,11,
models\crypto_model.pkl,2400.71,80 04 95 61 03 00 00 00,.pkl,True,joblib,RandomForestClassifier,28,
models\lightgbm_model.onnx,0.08,08 04 12 0B 4F 6E 6E 78,.onnx,True,onnx,Session,45,
models\lstm_model.h5,0.24,50 4B 03 04 00 00 08 08,.h5,False,,,,tensorflow not installed: No module named 'tensorflow'
models\my_model.onnx,1164.49,00 00 00 00 00 00 00 00,.onnx,False,,,,InvalidProtobuf: [ONNXRuntimeError] : 7 : INVALID_PROTOBUF : Load model from C:\Users\localonly\Documents\FXJEFE_Project\models\my_model.onnx failed:Protobuf parsing failed.
models\my_model.pkl,1.0,80 04 95 00 07 00 00 00,.pkl,True,joblib,VotingClassifier,9,
models\my_modelbig.pkl,1858.02,80 04 95 C5 01 00 00 00,.pkl,True,joblib,Pipeline,45,
models\my_modelOG.pkl,2.42,00 00 00 00 00 00 00 00,.pkl,False,,,,KeyError: 0
models\stacking_model.pkl,1.27,80 04 95 FB 07 00 00 00,.pkl,True,joblib,StackingClassifier,28,
models\xgboost_model.json,1.41,7B 22 6C 65 61 72 6E 65,.json,True,xgb,Booster,6,
